"","OQ1","OQ2","SN1","SN2","PU1","PU2","PU3","PU4","ATT1","ATT2","ATT3","ATT4","BI1","BI2","BI3","BI4","ASU1","ASU2","CP1","CP2","CP3","CP4","PEU1","PEU2","PEU3","PEU4"
1,3,3,2,3,1,3,2,2,1,1,2,1,3,3,2,3,2,2,3,4,4,4,2,1,4,3
2,3,3,5,5,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5
3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3
4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,3,2,3,3,3,3,4,4,4,4
6,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7,2,2,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,3,3,2
8,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,3,4,3,2,3,2,3,3,2,3
9,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,3,3,4,4,3,3,2,3,3,4,2,1,3,3,3,2,2,2,2,2,3,3,2,4,3,3
11,5,5,4,4,2,2,2,2,2,1,1,1,2,2,1,2,2,2,3,2,2,2,3,5,5,4
12,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4
13,5,4,5,5,5,5,5,5,4,4,3,4,5,5,4,4,4,4,4,3,3,5,5,5,2,5
14,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4
15,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,5,4,4
16,1,1,3,4,2,3,1,1,3,1,3,1,3,3,3,3,3,3,2,2,2,2,3,3,3,3
17,3,3,5,5,1,1,1,1,3,1,1,1,3,3,3,3,3,3,3,3,1,1,4,4,3,3
18,5,5,4,3,4,4,3,5,4,4,4,5,4,4,5,3,3,2,5,4,4,4,3,4,4,4
19,3,3,3,3,3,2,2,3,4,4,4,4,3,4,3,3,3,2,3,3,3,3,3,3,4,4
20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
21,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3
22,3,3,3,2,1,2,1,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,2,2
23,4,4,4,4,1,2,1,1,3,3,2,3,2,2,3,3,1,1,5,4,4,4,2,4,3,3
24,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,2,3,3,3,3,3,3,3,3
25,3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,3,1,2,3,2,2,2,3,3,3,3
26,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3
27,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
28,3,2,4,4,2,2,2,2,1,1,1,1,3,4,4,3,3,3,2,3,2,2,2,2,2,3
29,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,4,4,4,4,3,3,4,3
30,4,4,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2,3,3,3
31,2,2,4,4,2,3,2,2,2,2,3,3,2,3,2,2,3,4,2,3,2,2,3,3,2,2
32,2,2,3,3,1,1,1,2,3,2,3,3,3,2,3,3,1,2,1,1,1,3,2,3,3,3
33,3,2,3,3,3,3,3,3,3,3,4,3,4,3,3,3,4,3,3,3,3,3,3,3,2,3
34,4,5,5,4,4,4,3,4,5,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,4,5
35,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,4,4,4,3,3,3,3
36,4,4,4,4,2,2,1,1,3,3,2,3,3,4,3,3,3,2,2,2,2,2,1,3,2,3
37,5,5,5,4,4,4,4,4,5,5,5,5,4,4,5,4,4,3,4,3,4,3,5,5,5,5
38,3,2,3,4,2,2,2,3,4,4,3,3,2,3,3,2,3,2,3,3,3,3,5,4,4,3
39,4,5,3,3,3,2,2,3,3,3,3,3,3,4,3,3,5,5,3,2,2,2,4,4,3,4
40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
41,2,2,4,3,5,5,5,2,1,1,2,1,3,3,2,2,3,1,3,2,2,2,3,4,3,3
42,4,4,4,4,3,4,3,3,3,3,3,3,3,4,4,3,2,2,3,3,3,3,3,4,4,4
43,4,3,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
44,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4
45,4,3,4,4,3,3,3,4,3,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,4
46,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
47,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,1,1,1,1,3,1,3,1,1
