"","PE1","PE2","PE3","PE4","EE1","EE2","EE3","EE4","SI1","SI2","SI3","HM1","HM2","HM3","HA1","HA2","HA3","HA4","BI1","BI2","BI3"
10199523914,6,6,6,4,5,5,6,5,4,4,4,5,4,5,5,4,5,5,5,5,6
10199524091,5,5,4,5,5,5,5,4,5,5,4,5,5,4,5,5,6,6,4,5,5
10199526556,6,6,5,6,6,5,5,6,5,6,6,5,6,6,6,6,5,6,5,6,6
10199529372,6,6,6,5,6,6,6,6,3,2,2,5,4,5,5,2,2,4,6,4,6
10199529712,4,5,5,5,4,5,4,4,4,3,3,4,4,4,5,5,4,5,4,3,4
10199529970,5,4,4,4,5,4,4,3,4,4,4,4,5,4,4,4,4,4,5,4,5
10199530412,7,5,6,7,7,5,7,6,7,6,7,6,7,5,6,7,5,7,7,6,7
10199531998,6,6,5,6,6,6,6,5,5,5,6,5,5,6,5,5,6,5,6,5,5
10199532755,7,7,7,7,6,6,6,6,5,5,4,5,5,5,7,6,7,7,7,6,7
10199535169,7,6,6,4,6,7,7,7,5,5,6,5,5,5,6,4,4,6,7,5,7
10199538451,6,5,6,4,5,5,5,4,4,4,4,6,5,5,6,5,6,4,6,5,6
10199540133,6,6,5,5,6,6,5,5,5,5,6,6,6,6,5,5,6,6,6,6,7
10199541858,6,6,7,6,7,7,6,7,5,6,6,6,6,5,7,7,6,7,6,6,7
10199542563,7,7,7,6,6,6,6,7,6,6,7,6,6,6,4,4,5,5,5,4,5
10199542969,5,4,5,5,5,6,5,5,5,5,5,4,4,4,5,4,5,5,6,5,5
10199544179,6,6,6,6,6,6,6,6,6,5,6,4,4,4,5,4,5,5,5,5,5
10199544288,6,5,6,6,4,4,4,5,5,5,5,3,4,4,5,4,5,5,5,5,5
10199545770,4,5,6,7,5,5,7,7,7,5,6,6,5,7,4,5,6,7,6,7,6
10199546543,7,7,7,5,6,6,6,6,4,4,4,4,3,2,3,2,4,6,6,6,6
10199547349,5,5,4,5,4,5,5,4,5,5,4,4,4,5,4,5,5,4,5,5,4
10199548975,6,5,5,4,4,4,3,3,4,2,4,4,4,4,4,3,3,4,5,4,4
10199550764,6,5,5,5,4,5,5,6,5,5,4,5,5,4,6,5,5,6,5,5,4
10199551561,6,6,7,7,7,7,6,6,6,6,6,7,7,6,6,7,6,6,7,6,6
10199551899,7,6,7,5,7,7,6,5,6,4,4,7,6,6,6,6,6,7,6,6,7
10199552552,6,5,6,6,5,6,5,6,5,6,4,6,5,5,4,5,5,6,4,5,5
10199553584,7,7,6,6,6,5,5,5,6,6,6,6,6,5,6,6,6,6,7,7,7
10199555517,7,7,6,7,7,6,7,7,7,6,7,7,7,7,7,7,7,6,7,6,7
10199557669,6,5,6,6,5,5,6,5,4,4,3,5,5,5,3,3,5,5,6,5,6
10199558276,6,5,5,5,5,5,5,5,4,5,5,4,4,4,5,5,5,5,5,5,5
10199562837,6,6,7,5,5,6,3,3,6,4,6,6,5,6,6,3,4,4,4,4,4
10199563054,6,6,5,6,4,5,5,5,6,5,5,6,6,5,7,5,6,6,7,6,6
10199564813,4,4,5,4,5,5,5,4,5,5,4,4,5,4,4,5,5,5,4,5,5
10199565280,3,5,4,3,5,5,4,4,3,5,3,4,5,3,3,5,4,3,3,5,4
